ONSConstID,ConstituencyName,RegionName,1995-12-31,1996-03-31,1996-06-30,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-04-01,2018-06-01,2018-09-01,2018-12-01,2019-03-01,2019-06-01,2019-09-01,2019-12-01,2020-03-01,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01
E14000530,Aldershot,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0,33900.0
E14000531,Aldridge-Brownhills,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0,29100.0
E14000532,Altrincham and Sale West,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0,43700.0
E14000533,Amber Valley,East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0
E14000534,Arundel and South Downs,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0,30300.0
E14000535,Ashfield,East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0
E14000536,Ashford,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0
E14000537,Ashton-under-Lyne,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0,24800.0
E14000538,Aylesbury,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0,28500.0
E14000539,Banbury,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0,31700.0
E14000540,Barking,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0,30700.0
E14000541,Barnsley Central,Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0,24100.0
E14000542,Barnsley East,Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0,26300.0
E14000543,Barrow and Furness,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0,31300.0
E14000544,Basildon and Billericay,East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0,29400.0
E14000545,Basingstoke,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0,34100.0
E14000546,Bassetlaw,East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0,27900.0
E14000547,Bath,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0,32300.0
E14000548,Batley and Spen,Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0,28900.0
E14000549,Battersea,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0,42900.0
E14000550,Beaconsfield,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0,36200.0
E14000551,Beckenham,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0,40700.0
E14000552,Bedford,East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0,30200.0
E14000553,Bermondsey and Old Southwark,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0
