Parliamentary Constituency Code,"Parliamentary Constituency",Region,Number of households,Number of households in fuel poverty,Proportion of households fuel poor (%)
E14000530,"Aldershot",South East,44540,2915,6.5
E14000531,"Aldridge-Brownhills",West Midlands,33581,4673,13.9
E14000532,"Altrincham and Sale West",North West,41632,4189,10.1
E14000533,"Amber Valley",East Midlands,41122,6216,15.1
E14000534,"Arundel and South Downs",South East,45626,4130,9.1
E14000535,"Ashfield",East Midlands,46198,6953,15.1
E14000536,"Ashford",South East,52381,4470,8.5
E14000537,"Ashton-under-Lyne",North West,41649,6629,15.9
E14000538,"Aylesbury",South East,50840,3387,6.7
E14000539,"Banbury",South East,56653,4135,7.3
E14000540,"Barking",London,51473,8146,15.8
E14000541,"Barnsley Central",Yorkshire and The Humber,41647,7373,17.7
E14000542,"Barnsley East",Yorkshire and The Humber,42474,7537,17.7
E14000543,"Barrow and Furness",North West,41367,6625,16.0
E14000544,"Basildon and Billericay",East of England,39948,3928,9.8
E14000545,"Basingstoke",South East,50475,2768,5.5
E14000546,"Bassetlaw",East Midlands,48355,6845,14.2
E14000547,"Bath",South West,40559,5687,14.0
E14000548,"Batley and Spen",Yorkshire and The Humber,46095,7774,16.9
E14000549,"Battersea",London,55234,4497,8.1
E14000550,"Beaconsfield",South East,43265,2946,6.8
E14000551,"Beckenham",London,40186,3604,9.0
E14000552,"Bedford",East of England,45675,6471,14.2
E14000553,"Bermondsey and Old Southwark",London,66484,5555,8.4
E14000554,"Berwick-upon-Tweed",North East,35929,5638,15.7
E14000555,"Bethnal Green and Bow",London,56957,5848,10.3
E14000556,"Beverley and Holderness",Yorkshire and The Humber,45929,6420,14.0
E14000557,"Bexhill and Battle",South East,47607,5028,10.6
E14000558,"Bexleyheath and Crayford",London,38352,3707,9.7
E14000559,"Birkenhead",North West,42204,8316,19.7
E14000560,"Birmingham, Edgbaston",West Midlands,41539,7884,19.0
E14000561,"Birmingham, Erdington",West Midlands,43278,9415,21.8
E14000562,"Birmingham, Hall Green",West Midlands,41022,12083,29.5
E14000563,"Birmingham, Hodge Hill",West Midlands,40532,13001,32.1
E14000564,"Birmingham, Ladywood",West Midlands,53359,14214,26.6
E14000565,"Birmingham, Northfield",West Midlands,45745,8005,17.5
E14000566,"Birmingham, Perry Barr",West Midlands,40072,11347,28.3
E14000567,"Birmingham, Selly Oak",West Midlands,43182,9782,22.7
E14000568,"Birmingham, Yardley",West Midlands,43397,10272,23.7
E14000569,"Bishop Auckland",North East,42529,6630,15.6
E14000570,"Blackburn",North West,42037,7991,19.0
E14000571,"Blackley and Broughton",North West,48056,9122,19.0
E14000572,"Blackpool North and Cleveleys",North West,39488,6506,16.5
E14000573,"Blackpool South",North West,37706,8311,22.0
E14000574,"Blaydon",North East,40846,5071,12.4
E14000575,"Blyth Valley",North East,39854,4808,12.1
E14000576,"Bognor Regis and Littlehampton",South East,48848,4173,8.5
E14000577,"Bolsover",East Midlands,44873,7076,15.8
E14000578,"Bolton North East",North West,42553,6957,16.3
E14000579,"Bolton South East",North West,42651,7698,18.0
E14000580,"Bolton West",North West,43151,5122,11.9
E14000581,"Bootle",North West,45791,7568,16.5
E14000582,"Boston and Skegness",East Midlands,47972,7451,15.5
E14000583,"Bosworth",East Midlands,47367,5133,10.8
E14000584,"Bournemouth East",South West,48445,6503,13.4
E14000585,"Bournemouth West",South West,46877,6074,13.0
E14000586,"Bracknell",South East,46405,2517,5.4
E14000587,"Bradford East",Yorkshire and The Humber,43827,10296,23.5
E14000588,"Bradford South",Yorkshire and The Humber,43624,8060,18.5
E14000589,"Bradford West",Yorkshire and The Humber,40368,10270,25.4
E14000590,"Braintree",East of England,43557,5433,12.5
E14000591,"Brent Central",London,57479,9563,16.6
E14000592,"Brent North",London,47536,6743,14.2
E14000593,"Brentford and Isleworth",London,58740,6396,10.9
E14000594,"Brentwood and Ongar",East of England,41421,4412,10.7
E14000595,"Bridgwater and West Somerset",South West,52858,7141,13.5
E14000596,"Brigg and Goole",Yorkshire and The Humber,39353,6322,16.1
E14000597,"Brighton, Kemptown",South East,41656,4415,10.6
E14000598,"Brighton, Pavilion",South East,45371,5726,12.6
E14000599,"Bristol East",South West,44923,5202,11.6
E14000600,"Bristol North West",South West,44422,4851,10.9
E14000601,"Bristol South",South West,50565,6413,12.7
E14000602,"Bristol West",South West,58507,8985,15.4
E14000603,"Broadland",East of England,44233,5868,13.3
E14000604,"Bromley and Chislehurst",London,41062,4208,10.2
E14000605,"Bromsgrove",West Midlands,42201,5467,13.0
E14000606,"Broxbourne",East of England,42517,4042,9.5
E14000607,"Broxtowe",East Midlands,42613,4976,11.7
E14000608,"Buckingham",South East,46219,3793,8.2
E14000609,"Burnley",North West,40699,7972,19.6
E14000610,"Burton",West Midlands,47491,8574,18.1
E14000611,"Bury North",North West,39022,5424,13.9
E14000612,"Bury South",North West,43367,5589,12.9
E14000613,"Bury St Edmunds",East of England,52555,6025,11.5
E14000614,"Calder Valley",Yorkshire and The Humber,47603,7580,15.9
E14000615,"Camberwell and Peckham",London,55619,6601,11.9
E14000616,"Camborne and Redruth",South West,42430,6027,14.2
E14000617,"Cambridge",East of England,49013,5718,11.7
E14000618,"Cannock Chase",West Midlands,44449,6991,15.7
E14000619,"Canterbury",South East,45797,4893,10.7
E14000620,"Carlisle",North West,41714,5686,13.6
