const_id,const_name,2023,GE 2019,2019 party,2019 MP,2019 electorate,2019 turnout,Pre GE 2019,GE 2017,2017 turnout,GE 2015
E14000530,Aldershot,Con,Con,Conservative and Unionist Party,Leo Docherty,72617,66,Con,Con,64.4,Con
E14000531,Aldridge-Brownhills,Con,Con,Conservative and Unionist Party,Wendy Morton,60138,65.4,Con,Con,66.8,Con
E14000532,Altrincham and Sale West,Con,Con,Conservative and Unionist Party,Graham Brady,73146,74.9,Con,Con,72.3,Con
E14000533,Amber Valley,Con,Con,Conservative and Unionist Party,Nigel Mills,69976,65.1,Con,Con,67.5,Con
E14000534,Arundel and South Downs,Con,Con,Conservative and Unionist Party,Andrew Griffith,,,Con,Con,76,Con
E14000535,Ashfield,Con,Con,Conservative and Unionist Party,Lee Anderson,78204,62.6,Lab,Lab,64.1,Lab
E14000536,Ashford,Con,Con,Conservative and Unionist Party,Damian Green,89550,67.1,Con,Con,68.7,Con
E14000537,Ashton-under-Lyne,Lab,Lab,Labour Party,Angela Rayner,67978,56.8,Lab,Lab,58.9,Lab
E14000538,Aylesbury,Con,Con,Conservative and Unionist Party,Rob Butler,,,Con,Con,71.4,Con
E14000539,Banbury,Con,Con,Conservative and Unionist Party,Victoria Prentis,90113,69.8,Con,Con,73.6,Con
E14000540,Barking,Lab,Lab,Labour Party,Margaret Hodge,77946,57.1,Lab,Lab,62,Lab
E14000541,Barnsley Central,Lab,Lab,Labour Party,Dan Jarvis,65277,56.5,Lab,Lab,61,Lab
E14000542,Barnsley East,Lab,Lab,Labour Party,Stephanie Peacock,69504,54.8,Lab,Lab,59,Lab
E14000543,Barrow and Furness,Con,Con,Conservative and Unionist Party,Simon Fell,,,Ind,Lab,68.6,Lab
E14000544,Basildon and Billericay,Con,Con,Conservative and Unionist Party,John Baron,69906,63.1,Con,Con,65.1,Con
E14000545,Basingstoke,Con,Con,Conservative and Unionist Party,Maria Miller,82926,66,Con,Con,68.5,Con
E14000546,Bassetlaw,Con,Con,Conservative and Unionist Party,Brendan Clarke-Smith,80035,63.5,Lab,Lab,66.7,Lab
E14000547,Bath,LD,LD,Liberal Democrats,Wera Hobhouse,67752,77,LD,LD,74.4,Con
E14000548,Batley and Spen,Lab,Lab,Labour and Co-operative Party,Tracy Brabin,79558,66.5,Lab,Lab,67.2,Lab
E14000549,Battersea,Lab,Lab,Labour Party,Marsha de Cordova,79309,75.6,Lab,Lab,71.1,Con
E14000550,Beaconsfield,Con,Con,Conservative and Unionist Party,Joy Morrissey,77720,74.5,Ind,Con,72.4,Con
E14000551,Beckenham,Con,Con,Conservative and Unionist Party,Bob Stewart,68671,73.6,Con,Con,76.3,Con
E14000552,Bedford,Lab,Lab,Labour Party,Mohammad Yasin,71579,66.1,Lab,Lab,67.7,Con
E14000553,Bermondsey and Old Southwark,Lab,Lab,Labour Party,Neil Coyle,,,Lab,Lab,67.2,Lab
E14000554,Berwick-upon-Tweed,Con,Con,Conservative and Unionist Party,Anne-Marie Trevelyan,,,Con,Con,71.9,Con
E14000555,Bethnal Green and Bow,Lab,Lab,Labour Party,Rushanara Ali,88169,68.7,Lab,Lab,69.8,Lab
E14000556,Beverley and Holderness,Con,Con,Conservative and Unionist Party,Graham Stuart,,,Con,Con,69.2,Con
E14000557,Bexhill and Battle,Con,Con,Conservative and Unionist Party,Huw Merriman,,,Con,Con,73.2,Con
