Parliamentary Constituency Codes,Parliamentary Constituency,Self-employment income: Median (Lower 95% CI),Self-employment income: Median (Central Estimate),Self-employment income: Median (Upper 95% CI),Employment income: Median (Lower 95% CI),Employment income: Median (Central Estimate),Employment income: Median (Upper 95% CI),Pension income: Median (Lower 95% CI),Pension income: Median (Central Estimate),Pension income: Median (Upper 95% CI),Total income: Median (Lower 95% CI),Total income: Median (Central Estimate),Total income: Median (Upper 95% CI),Total tax: Median (Lower 95% CI),Total tax: Median (Central Estimate),Total tax: Median (Upper 95% CI)
E12000001,North East,14800,15300,16000,25500,25800,26100,16300,16600,16900,25500,25700,26000,2340,2380,2440
E14001101,Bishop Auckland,13400,16700,18700,22700,24200,25800,15700,16800,18400,23700,24900,25900,1980,2270,2480
E14001106,Blaydon and Consett,9710,13100,16000,25600,26400,27600,14600,16000,17300,25500,26200,27400,2330,2550,2740
E14001107,Blyth and Ashington,11000,17200,21000,24600,26200,27400,14700,15800,16200,23600,24800,26100,2030,2210,2450
E14001173,City of Durham,13700,17100,21400,22500,24000,25300,15900,17600,19900,24000,25200,26500,2090,2300,2550
E14001183,Cramlington and Killingworth,13800,18400,21400,25500,27800,29600,15300,16500,17500,25100,26900,28300,2330,2620,2920
E14001190,Darlington,6990,12900,15100,23800,24800,26100,15800,17100,18400,23900,24700,26000,2020,2240,2440
E14001211,Easington,12800,15700,19000,23400,24600,26300,13300,14700,16600,23600,25000,26300,2000,2210,2460
E14001244,Gateshead Central and Whickham,12700,16500,20400,24700,26300,28200,14500,16100,17500,24500,26000,27600,2200,2410,2750
E14001272,Hartlepool,13100,17500,21900,23900,26700,29300,14100,15400,17100,23800,25200,26900,1940,2230,2530
E14001285,Hexham,10700,13700,16400,25400,27700,29900,15900,17900,19900,27700,29200,30900,2700,2950,3190
E14001295,Houghton and Sunderland South,14600,16600,19100,24500,25400,26700,15600,16300,18500,23600,25000,26000,2060,2280,2500
E14001307,Jarrow and Gateshead East,14200,16100,19500,24100,25700,26800,14400,15900,16800,23700,24800,26000,2030,2220,2490
E14001367,Middlesbrough and Thornaby East,13800,15200,19400,22500,23400,24400,14400,16000,17500,22200,23100,23900,1730,1910,2100
E14001368,Middlesbrough South and East Cleveland,12300,15100,19000,24500,26000,28500,14600,17500,19700,24400,25500,27400,2160,2360,2610
E14001377,Newcastle upon Tyne Central and West,14400,15700,18500,24000,25900,26800,13500,15300,16500,23300,24300,25800,1940,2210,2340
E14001378,Newcastle upon Tyne East and Wallsend,12700,15400,19100,23200,24700,26000,14100,15600,16900,22900,24200,25500,1920,2110,2360
E14001379,Newcastle upon Tyne North,11400,15000,19500,27500,29500,30700,17400,18800,21000,28200,30200,31200,2830,3090,3390
E14001382,Newton Aycliffe and Spennymoor,10100,15800,21000,25700,27000,28600,15900,17300,18400,24900,26500,27200,2350,2520,2750
E14001389,North Durham,10200,16400,18600,23400,24600,26700,15500,17200,19300,23600,24900,26000,1980,2310,2570
E14001397,North Northumberland,9050,13200,16600,23500,25600,27900,16700,17700,19600,25100,27000,28600,2220,2500,2840
E14001440,Redcar,10600,14200,17200,23300,25800,28600,15500,16800,18500,22700,23500,25600,1850,2050,2410
E14001492,South Shields,12500,14300,19400,24000,25300,27000,14700,16000,16900,23900,25200,27300,2050,2290,2670
E14001518,Stockton North,14000,17400,18700,23000,25000,26400,13800,15700,18800,23800,25700,26700,2070,2330,2580
E14001519,Stockton West,10100,13100,14900,27100,29900,31900,17700,19900,20700,28200,29900,31500,2730,3100,3390
